years,usd2010,pct_foreign,pct_unreported,dif_msy,pct_msy,pct_avg,score
1950,8542969.16,10.562480106155505,79.70802507263177,37578746.989999995,95.01530524725159,75.06328418410841,24.93671581589159
1951,9671936.99,7.967160337311549,82.1948857445926,36449779.16,92.16078689382373,73.32888135267505,26.671118647324946
1952,8576982.86,8.394214844212836,82.0676086579793,37544733.29,94.92930392078512,75.0499470529095,24.950052947090498
1953,9327849.72,8.335889385092614,81.29976538826547,36793866.43,93.03078814744306,73.74560384313745,26.254396156862555
1954,8742616.89,6.970650948190102,80.25025262201555,37379099.26,94.51050954416658,74.15048644054109,25.849513559458913
1955,8740841.219999999,2.2435165329295863,82.92756060382939,37380874.93,94.51499920496111,73.74321495032846,26.256785049671535
1956,6571512.220000001,3.548637245217179,82.69688583596195,39550203.93,100,77.24910461623583,22.750895383764174
1957,9353384.5,2.6395083211298074,84.5525217101895,36768331.65,92.96622519336779,73.21814112228454,26.781858877715464
1958,7840754.92,3.658058486803417,83.0895807415442,38280961.23,96.79080618080646,75.4240115541534,24.575988445846605
1959,8434609.620000001,3.6276044180175853,81.9615764268175,37687106.53,95.28928497234173,74.29140715237205,25.708592847627955
1960,8619820.83,3.922617367460382,79.0305517533239,37501895.32,94.8209910279469,73.483228440925,26.516771559074996
1961,7540290.18,3.059030358493276,79.93926398209351,38581425.97,97.5505108350019,75.1299653691185,24.870034630881506
1962,8219648.48,3.6159957671143603,79.90504394416634,37902067.67,95.83279959082628,74.2038876967519,25.796112303248094
1963,7036575.87,5.355374406191331,74.8595101481646,39085140.28,98.82411819968586,75.33744783068269,24.66255216931731
1964,7881549.75,4.5826550586803805,80.37855331735811,38240166.4,96.68765922846153,75.00483721228461,24.995162787715387
1965,8790189.85,5.759351612693701,74.53613874501683,37331526.3,94.39022455123911,72.69323280228558,27.30676719771442
1966,8229001.65,7.697424618283454,73.64448663101192,37892714.5,95.8091507367861,73.75387269193074,26.246127308069262
1967,8214997.26,7.83920243492785,72.11613625311925,37906718.89,95.84455988416948,73.49780366811112,26.502196331888882
1968,12349314.08,5.389755995694115,79.36618201227253,33772402.07,85.39122106620198,68.1859202413145,31.814079758685494
1969,14067671.58,6.121499636928012,83.22810248602633,32054044.57,81.04647102890425,66.49780304193342,33.50219695806658
1970,13141382.309999999,4.684043975391532,84.17730440413615,32980333.84,83.38853043178229,67.8053879349749,32.1946120650251
1971,12754827.58,4.698770383261123,82.07130887770103,33366888.57,84.36590776891096,67.97356051353901,32.02643948646099
1972,14124522.879999999,5.547760583110365,82.79507160046805,31997193.27,80.90272638450085,66.2102022674162,33.78979773258381
1973,73569255.39999999,68.93477373509317,94.3492083915191,27447539.249999993,69.39923571210772,74.29633785258709,25.703662147412913
1974,28562516.48,35.228144532975925,88.41585067507329,17559199.669999998,44.397241796978,51.36714411979665,48.63285588020335
1975,41931023.81,54.77176620578338,90.70352673079651,4190692.339999996,10.595880485008655,35.45258687832117,64.54741312167883
1976,31463431.53,56.565502204993244,90.20800106605536,14658284.619999997,37.0624754449907,51.59218592120415,48.40781407879585
1977,51256002.800000004,62.02638641044872,87.68345338320384,5134286.650000006,12.981694504248809,37.7309846612798,62.2690153387202
1978,50317275.33,51.825613579652654,80.52048475256738,4195559.18,10.608185958853031,32.83413124175583,67.16586875824417
1979,52592550.17,52.776680930150256,81.45542513793347,6470834.020000003,16.3610636027383,36.66305937525973,63.33694062474027
1980,65625493.38,55.913738359941554,76.46596524528864,19503777.230000004,49.313973866025535,56.06432504066136,43.93567495933864
1981,56288654.81,51.74658655168337,80.46280896724097,10166938.660000004,25.706412735556288,41.86572674511864,58.13427325488136
1982,61693323.989999995,49.75247062708965,74.27954413256765,15571607.839999996,39.371751072536114,48.429453595453126,51.570546404546874
1983,62246913.55,46.035948504661114,74.36403836373601,16125197.399999999,40.77146461378562,48.5428761419508,51.4571238580492
1984,54397273.3,39.52249976244044,68.30475217372793,8275557.1499999985,20.92418325995721,34.11996034320801,65.880039656792
1985,41066630.28,25.341576838820423,68.27929877773242,5055085.869999997,12.781440720121207,26.39303955538329,73.6069604446167
1986,42097633.37,29.344000342951343,78.62007440918526,4024082.780000001,10.17461954715135,27.69758667871813,72.30241332128188
1987,62179955.42,19.515468620756224,77.9104460477273,16058239.270000003,40.60216553730423,43.84648225607924,56.15351774392076
1988,52017758.22,28.390854305087043,70.41081843253436,5896042.07,14.90774126079203,28.7049793039995,71.2950206960005
1989,56992659.16,33.45798164661896,60.6441680374473,10870943.009999998,27.48643984046329,35.31229384109123,64.68770615890877
1990,51838818.07,36.529620133437405,64.76175780988441,5717101.920000002,14.455303264981174,28.931457547653064,71.06854245234693
1991,53160735.239999995,30.886289565651392,60.68389518007727,7039019.089999996,17.797680898076713,28.992645487991762,71.00735451200823
1992,83969058.5,46.97637962657231,63.82729364100555,37847342.35,95.6944303422205,79.57739285884787,20.422607141152127
1993,70803863.64,39.285595438789905,69.01793960222678,24682147.490000002,62.40713077911051,59.104985475669636,40.895014524330364
1994,46678291.23,26.556996413721805,40.17080707515633,556575.0799999982,1.4072622254618,14.18991803305271,85.8100819669473
1995,44540853.78,16.80890145704911,47.6378569651293,1580862.3699999973,3.997102955013758,15.287613457443936,84.71238654255606
1996,35947371.33,20.10167362463403,44.833615765806826,10174344.82,25.725138707268357,28.42214110244919,71.57785889755081
1997,32291287.169999998,21.146877181165472,41.83525679506073,13830428.98,34.96929877903666,33.578006062667235,66.42199393733276
1998,35038031.17,17.017026627215174,30.75489729350566,11083684.979999997,28.024343438575027,26.368990847289183,73.63100915271082
1999,32540466.57,24.13735936251935,31.374313481455406,13581249.579999998,34.33926561804203,31.70589393962017,68.29410606037983
2e3,46121716.15,26.028298082918223,29.583665691593385,0,0,11.122392754902322,88.87760724509768
2001,62997744.09,25.047774836518787,34.159285496408636,16876027.940000005,42.669888554478575,37.44334519927263,62.55665480072737
2002,63700634.7,16.408625750072243,22.74117118019862,17578918.550000004,44.44709964356435,34.49821917219278,65.50178082780721
2003,60284708.05,14.021472404330456,27.283992731766077,14162991.899999999,35.81016149769319,29.747189925835222,70.25281007416478
2004,54349149.65,19.218828271811674,29.229037293686527,8227433.5,20.802505884828694,22.17107664399686,77.82892335600314
2005,52017991.71,17.470705712681525,26.668695164817617,5896275.560000002,14.908331624372492,17.772879150123323,82.22712084987668
2006,53501030.06,15.313494644517878,27.949372139621193,7379313.910000004,18.658093199874948,19.847429276752784,80.15257072324721
2007,51895727.09,22.916609596296915,32.15738111593291,5774010.940000005,14.59919385047784,19.77431445273267,80.22568554726733
2008,65396363.25,22.830725634708628,30.05274179371129,19274647.1,48.73463392025549,39.817473837837284,60.182526162162716
2009,53551339.13,38.42249586566324,43.292142449921215,7429622.980000004,18.785296260797317,27.61410541959528,72.38589458040472
2010,40007728.7,14.58611192114918,22.615387666987303,6113987.4499999955,15.458801327095953,16.71558071388487,83.28441928611514
2011,45132180.25,25.025134038923934,34.06022027929838,989535.8999999985,2.501974204106205,13.318255386108186,86.68174461389181
2012,40604155.23,24.177900628847667,35.027664064025885,5517560.920000002,13.950777421440218,20.21157939143884,79.78842060856115
2013,44828216.870000005,24.220797404134697,34.42284915045741,1293499.2799999937,3.2705249315259186,13.691044269833972,86.30895573016603
2014,48292737.669999994,19.584500772774415,39.46572677290921,2171021.519999996,5.489280216715171,15.103613639165825,84.89638636083417
